source,date,metric,value,context,url
J.D. Power U.S. Automotive Brand Loyalty Study,2024-09-25,Ford truck loyalty rate,65.1,Highest loyalty rate in the study; Ford leads truck segment for the third consecutive year.,https://www.jdpower.com/sites/default/files/file/2024-09/2024107%20U.S.%20Automotive%20Brand%20Loyalty.pdf
J.D. Power U.S. Automotive Brand Loyalty Study,2024-09-25,Honda SUV loyalty rate,64.2,Honda leads SUV loyalty while Subaru follows at 62.6%.,https://www.jdpower.com/sites/default/files/file/2024-09/2024107%20U.S.%20Automotive%20Brand%20Loyalty.pdf
J.D. Power U.S. Automotive Brand Loyalty Study,2024-09-25,Lexus premium SUV loyalty rate,60.2,BMW is second at 55.8%.,https://www.jdpower.com/sites/default/files/file/2024-09/2024107%20U.S.%20Automotive%20Brand%20Loyalty.pdf
J.D. Power U.S. Automotive Brand Loyalty Study,2024-09-25,Porsche premium car loyalty rate,57.5,Porsche holds the top premium car loyalty slot; Mercedes-Benz second at 49.0%.,https://www.jdpower.com/sites/default/files/file/2024-09/2024107%20U.S.%20Automotive%20Brand%20Loyalty.pdf
J.D. Power U.S. Automotive Brand Loyalty Study,2024-09-25,Toyota car loyalty rate,62.5,Toyota repeats as mass-market car loyalty leader.,https://www.jdpower.com/sites/default/files/file/2024-09/2024107%20U.S.%20Automotive%20Brand%20Loyalty.pdf
McKinsey – Collectible cars report,2025-02-04,Average collectible car auction price,65000,Average auction transaction price for collectible cars (~€65k).,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/collectible-cars-from-niche-market-to-growth-and-innovation-engine
McKinsey – Collectible cars report,2025-02-04,Average collectible car listing price,56000,Average public listing price highlights broader accessibility of the segment (~€56k).,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/collectible-cars-from-niche-market-to-growth-and-innovation-engine
McKinsey – Collectible cars report,2025-02-04,Global collectible car stock value,800000000000,Estimated value of global collectible car stock in 2024 (~€800B).,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/collectible-cars-from-niche-market-to-growth-and-innovation-engine
McKinsey – Collectible cars report,2025-02-04,Record 300 SLR Uhlenhaut sale,143000000,Mercedes-Benz 300 SLR Uhlenhaut Coupé sold for $143M (≈€137M) at auction in 2022.,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/collectible-cars-from-niche-market-to-growth-and-innovation-engine
McKinsey – Ford’s evolving sense of self,2019-02-25,Quote: Industry change pace,,Hau Thai-Tang underscores urgency for marketing transformation.,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/fords-evolving-sense-of-self-an-interview-with-hau-thai-tang
